timestamp,open,high,low,close,volume
2023-10-21,29666.73,30374.86,29454.66,29909.99,6351.97825
2023-10-20,28715.89,30239.32,28575.6,29666.73,17524.490016
2023-10-19,28321.34,28922.3,28110.01,28715.89,9161.208979
2023-10-18,28397.83,28990.89,28140.88,28321.34,10710.106185
2023-10-17,28503.02,28630.72,28068.11,28397.83,12413.93963
2023-10-16,27156.64,30350.0,27112.09,28503.02,26515.683372
2023-10-15,26854.05,27296.0,26810.27,27156.64,3778.738782
2023-10-14,26865.33,26987.81,26792.91,26854.05,1867.651637
2023-10-13,26761.11,27129.99,26685.96,26865.33,5627.412493
2023-10-12,26875.96,26940.74,26554.0,26761.11,4782.282679
2023-10-11,27392.83,27474.6,26532.59,26875.96,9379.855105
2023-10-10,27591.27,27733.59,27297.24,27392.83,5882.811708
2023-10-09,27916.02,27986.07,27262.68,27591.27,8990.624446
2023-10-08,27957.1,28089.98,27685.64,27916.02,3583.647291
2023-10-07,27929.99,28027.16,27842.86,27957.1,2505.195806
2023-10-06,27411.99,28282.0,27166.29,27929.99,10625.93372
2023-10-05,27782.0,28120.0,27355.98,27411.99,9079.651563
2023-10-04,27426.77,27839.27,27210.79,27782.0,7719.610238
2023-10-03,27499.97,27679.66,27169.98,27426.77,7938.512786
2023-10-02,27993.52,28584.91,27285.6,27499.97,19163.339483
2023-10-01,26965.24,28190.0,26957.42,27993.52,7228.033774
2023-09-30,26910.0,27094.72,26892.0,26965.24,1770.824973
2023-09-29,27024.0,27248.35,26669.51,26910.0,9381.220373
2023-09-28,26373.97,27313.93,26346.1,27024.0,12829.411772
2023-09-27,26219.98,26850.0,26110.75,26373.97,10582.395348
2023-09-26,26302.1,26396.25,26094.16,26219.98,5003.480275
2023-09-25,26246.86,26447.37,25990.39,26302.1,9800.05764
2023-09-24,26577.99,26734.68,26120.0,26246.86,4122.626432
2023-09-23,26579.93,26635.96,26512.62,26577.99,1443.944683
2023-09-22,26568.0,26882.69,26455.42,26579.93,5600.893969
2023-09-21,27122.01,27161.1,26377.21,26568.0,8423.36401
2023-09-20,27206.21,27388.6,26798.39,27122.01,11251.370304
2023-09-19,26764.81,27482.99,26670.55,27206.21,9127.181065
2023-09-18,26525.99,27425.91,26376.0,26764.81,10614.16231
2023-09-17,26561.99,26619.97,26398.0,26525.99,2146.406128
2023-09-16,26602.75,26772.04,26450.0,26561.99,2778.163604
2023-09-15,26524.75,26886.59,26225.74,26602.75,5479.545904
2023-09-14,26220.63,26877.97,26126.12,26524.75,9762.287861
2023-09-13,25837.97,26407.38,25762.17,26220.63,9658.379402
2023-09-12,25166.2,26577.52,25136.39,25837.97,18304.737927
2023-09-11,25845.02,25899.99,24899.97,25166.2,11871.00632
2023-09-10,25899.97,26040.0,25570.01,25845.02,4935.832373
2023-09-09,25909.69,25948.55,25798.01,25899.97,1705.038172
2023-09-08,26253.97,26443.86,25650.0,25909.69,6639.956775
2023-09-07,25759.97,26449.4,25617.44,26253.97,5639.999579
2023-09-06,25793.11,26049.11,25372.77,25759.97,5720.939417
2023-09-05,25823.97,25906.82,25560.1,25793.11,4475.856559
2023-09-04,25971.97,26097.54,25634.0,25823.97,4311.241353
2023-09-03,25867.89,26137.31,25797.1,25971.97,3322.59175
2023-09-02,25806.01,25982.19,25756.05,25867.89,2389.351715
2023-09-01,25938.0,26158.19,25329.01,25806.01,8437.905792
2023-08-31,27297.97,27572.64,25659.86,25938.0,12686.122428
2023-08-30,27719.97,27765.97,27009.26,27297.97,8193.605825
2023-08-29,26120.01,28139.45,25927.45,27719.97,18896.52923
2023-08-28,26102.0,26249.82,25865.0,26120.01,5500.45893
2023-08-27,26022.55,26180.0,25975.97,26102.0,1549.593018
2023-08-26,26057.97,26125.0,25986.86,26022.55,1510.386762
2023-08-25,26179.04,26308.0,25780.01,26057.97,7330.623157
2023-08-24,26434.1,26581.96,25861.66,26179.04,5670.414738
2023-08-23,26055.96,26828.97,25815.02,26434.1,9231.841678
2023-08-22,26125.14,26137.97,25329.88,26055.96,7351.628763
2023-08-21,26189.99,26250.0,25810.0,26125.14,5358.604161
2023-08-20,26099.99,26297.7,25971.97,26189.99,3213.888434
2023-08-19,26051.97,26276.96,25802.88,26099.99,4046.484738
2023-08-18,26622.0,26826.77,25607.13,26051.97,14285.630359
2023-08-17,28734.01,28782.0,24394.74,26622.0,19809.230843
